descripcion,habitaciones,banios,parqueaderos,area_construida,area_privada,estrato,estado,antiguedad,piso,administeracion,precio_m2,barrio
"Apartamento en venta en unidad cerrada cerca al Club Campestre, facil acceso desde la Av. el Poblado, ubicación estratégica cerca al Santuario de la Rosa Mística y múltiples servicios complementarios del CC Santa Fe. Piso en mármol y madera, puerta de seguridad, sala y comedor independiente, chimenea, estar de tv, 3 alcobas con baño en cada una, cocina integral abierta tipo americano, jacuzzi, balcon y parqueaderos independientes cubiertos. Piscina, gym, sauna, parque infantil, placa polideportiva, zonas verdes, vigilancia 24 horas, citofonia y circuito cerrado de tv. Inmuebles sujetos a verificación de disponibilidad...",3,4,,260 m²,260 m²,6,,,,No definida,"$ 6.153.846,15*m²",El Campestre - Medellín - Antioquia
"Moderno y elegante apartamento en la Loma de los Bernal, piso 25, con vista a la ciudad, ventilado. Consta de dos habitaciones con closet, puerta, ventana con persiana y piso en madera . Tiene un baño con acabados elegantes, cocina americana, zona de ropas, sala comedor amplia y balcón con vista a toda la ciudad. Tiene parqueadero privado y cubierto con fácil acceso. La unidad cuenta con espectaculares zonas comunes: Zona húmeda climatizada, gimnasio, salón, BBQ, minimercado, zona infantil, etc.",2,1,1,51 m²,51 m²,5,Excelente,1 a 8 años,Otro,$ 218.000 COP,"$ 6.176.470,59*m²",Loma de los bernal - Medellín - Antioquia
"¡Apartamentos de136 m2 cada uno! LOS APARTAMENTOS SE VENDEN JUNTOS El apartamento del segundo piso cuenta con: 4 alcobas cada una con baño y closet, 1 baños social, cocina integral, sala comedor, comedor auxiliar, red de gas, calentador de agua, zona de ropas, patio. El apartamento del tercer piso cuenta con: sala comedor, cocina integral, red de gas, calentador, 4 alcobas, 4 closets, 4 baños, zona de lavandería, balcón. .",8,9,,136 m²,136 m²,3,,,3,No definida,"$ 5.514.705,88*m²",La América - Medellín - Antioquia
Apartamento muy acogedor en la Urbanización cerrada Arboleda del Seminario Tercer piso Estrato 3 Área privada 47 10 metros cuadrados Sala comedor tres habitaciones todas con closet dos baños cabinados cocina zona de ropas red de gas calentador a gas vista hacia la montaña portería 24 7 zona social salón social piscina juegos para niños cancha de baloncesto zonas verdes senderos excelente servicio de transporte público No da el poniente excelente luz natural,3,2,,47 m²,47 m²,3,,9 a 15 años,,$ 130.000 COP,"$ 4.042.553,19*m²",Buenos Aires - Medellín - Antioquia
"VENDO APARTAMENTO LAURELES - PEDIDO 449 MILLONES -95m2 -3 habitaciones -2 baños -Cocina integral -Balcón -Piso 6 -Parqueadero -Cuarto útil -Ubicado en edificio con terraza, ascensor y portería. -Estrato: 6 -Administración: 425 mil -Antigüedad: 15 años -A 4 cuadras del primer parque de laureles. (S.H.) .",3,2,1,95 m²,0 m²,6,,,6,$ 425.000 COP,"$ 4.726.315,79*m²",Laureles - Medellín - Antioquia
"Apartamento en venta y arriendo en unidad cerrada sector Santa Maria de los Ángeles, cerca al CC Sao Pablo y Mall la Frontera. Facil acceso desde la Av el Poblado, rutas de transporte. Piso en madera, dos niveles, puerta de seguridad, sala y comedor independiente, estudio, 3 alcobas con baño en cada una, cocina integral abierta tipo americano, terraza y parqueaderos lineales cubiertos. Piscina, gym, sauna, parque infantil, zonas verdes, vigilancia 24 horas y circuito cerrado de tv. ..",3,3,,173 m²,173 m²,6,,,,No definida,"$ 6.647.398,84*m²",Santa M de los Angeles - Medellín - Antioquia
"Apartamento en venta en unidad cerrada ubicado en una calle tranquila, de poco flujo vehicular y transito de solo residentes. Piso en porcelanato y madera, puerta de seguridad, sala comedor, estudio, 3 alcobas con baño en la principal, cocina integral abierta tipo americano, balcon y parqueadero cubierto. Piscina, gym, sauna, parque infantil, zonas vedes, vigilancia 24 horas, citofonia y circuito cerrado de tv Inmuebles sujetos a verificación de disponibilidad...",3,2,,85 m²,85 m²,6,,,,No definida,"$ 6.705.882,35*m²",El Castillo - Medellín - Antioquia
"Apartamento en venta en unidad cerrada cerca a parques, restaurantes y servicios complementarios. Piso en porcelanato, sala comedor, 3 alcobas con baño en la principal, cocina integral abierta tipo americano, alcoba y baño de servicio, balcon y parqueaderos lineales cubiertos. Conjunto cerrado con ascensor, piscina, salón social, parques infantiles, zonas verdes, vigilancia 24 hrs, citofonia, alarma, y circuito cerrado de tv. Inmuebles sujetos a verificación de disponibilidad..",3,2,2,112 m²,112 m²,5,Bueno,16 a 30 años,,$ 560.000 COP,"$ 5.491.071,43*m²",Loma de los Bernal - Medellín - Antioquia
"Apartamento en la Calera, 3 alcobas todas con baño, principal con baño y vestier, estudio, balcón grande con vista a la ciudad, baño social, cuarto del servicio, puerta blindada, piso alto. 3 parqueaderos, sencillo y otro doble lineal, cuarto útil. Unidad super completa, 2 piscinas, 2 gimnasios, juegos infantiles, salones de juegos y salón de televisión y chancha de futbol..",3,3,3,161 m²,0 m²,6,Excelente,,,$ 535.000 COP,"$ 7.236.024,84*m²",La Calera - Medellín - Antioquia
"Amplio, Moderno, iluminado, Remodelado!! Apartamento duplex de 295 mts, con 3 habitaciones con baño y Vestier, aire acondicionado en cada habitación. Biblioteca, Balcón en habitación principal. Alcoba de servicio, zona de ropas. Moderna Cocina Abierta. Salón grande y Comedor independiente. Cuenta con una espectacular terraza de 55 mts con Jacuzzi y Turco. Tiene 2 parqueaderos, cada uno con útil, y un cuarto útil adicional en el piso del apartamento. La unidad cuenta con portería 24/7, Juegos de niños y Piscina. Lugar ideal pues puedes caminar al centro comercial, la iglesia y varios restaurantes. .",2,1,,39 m²,0 m²,3,,,,No definida,"$ 3.769.230,77*m²",San Lucas - Medellín - Antioquia
"Vendo apartamento en unidad completa calasanz bajo, zona de alta valorización cercana a la 80, excelentes rutas de transporte, cercana a supermercados e iglesias. El apartamento consta de 3 habitaciones y 2 baños completos, cocina integral abierta zona de ropas, balcón, parqueadero y cuarto util.Predial $280.000 trimestral. .",3,2,1,70 m²,70 m²,4,Excelente,9 a 15 años,5,$ 229.000 COP,"$ 4.571.428,57*m²",Calasanz - Medellín - Antioquia
"Excelente ubicación, bonitos acabados, espectacular vista a la ciudad, cuenta con 2 habitaciones cada una con closet amplio, 1 baño, zona de ropas, cocina integral, la unidad cuenta con zona BBQ , salón social, parque y cancha de fútbol, parqueaderos comunes para motos y automóviles, vigilancia 7x24, la unidad cuenta con excelentes rutas de transporte publico y el alimentador del metro llega hasta la portería, se encuentra a pocos minutos del centro comercial la central, actualmente se encuentra rentando. ES UNA EXCELENTE OPCIÓN PARA INVERTIR..",3,2,1,126 m²,126 m²,6,Excelente,16 a 30 años,1,$ 520.101 COP,"$ 3.992.063,49*m²",Buenos Aires - Medellín - Antioquia
"Venta apartamento de 122 mt2 muy bien distrubuidos y con espacios amplios, 3 piso con ascensor nuevo, 4 habitaciones (incluyendo la de servicio), 3 baños, 2 balcones, cocina amplia, zona de lavandería, parqueadero lineal con cuarto útil. Ubicación estrategíca, en un excelente punto de Laureles, con portería 24 horas, Unidad tranquila para vivir, cerca a la Iglesia Santa Teresita, supermercados, bancos, facil acceso a transporte público y con una muy buena valorización del sector. Entrega inmediata. .",5,3,,95 m²,95 m²,2,Excelente,1 a 8 años,3,No definida,"$ 3.052.631,58*m²",Laureles SANTA TERESITA - Medellín - Antioquia
"Apartamento de tres alcobas, dos baños completos, sala comedor, balcón, cocina integral abierta con barra americana, zona de ropas , (1) parqueadero cubierto. Entre sus zonas comunes se encuentran: piscina juegos infantiles, salón social, cancha de fútbol Acceso a principales rutas de servicio público. zona muy tranquila se escucha propuestas..",3,2,1,76 m²,76 m²,4,,16 a 30 años,,No definida,"$ 4.736.842,11*m²",La Pilarica - Medellín - Antioquia
"Se Vende Apartamento en el POBLADO con un Área 126m², sector el campestre, TRES ASPECTOS que te ENCANTARAN de este apartamento 1) La Ubicación 2) Los Espacios AMPLIOS Y FRESCOS 3) El PRECIO, LA SEGURIDAD, cuenta con 3 habitaciones + 2 baños+ parqueadero privado de carro cubierto, + deposito, Ascensor, amplios espacios para disfrutar en familia, cerca a supermercados , centros comerciales, iglesias, Moll, San lucas plaza muy buena vías de acceso..",3,2,1,51 m²,51 m²,4,,9 a 15 años,,$ 180.000 COP,"$ 5.490.196,08*m²",POBLADO - Medellín - Antioquia
GRAN OPORTUNIDAD DE INVERSION: DOS APARTAMENTOS EN PEDREGAL TOTAL MENTE TERMINADOS Y EN BUEN PUNTO. Código E06 Precio ANTES 340.000.000 AHORA 290.000.000 Se venden también individual. Tercer Piso 95 Metros aproximados de toda la propiedad. EL PRIMER APARTAMENTO CONSTA DE: Precio $179.000.000 Negociables Sala Comedor Piso en porcelanato 3 Habitaciones una con baño privado 3 Closet Cocina integral con mesón en mármol Red de gas 2 Baños enchapados con cabina en vidrio.,3,2,1,79 m²,73 m²,5,Excelente,menor a 1 año,10,$ 208.000 COP,"$ 7.088.607,59*m²",Pedregal - Medellín - Antioquia
Hermoso apartamento totalmente remodelado 3 habitaciones con closet cada una estudio cuarto útil 2 baños salón comedor cocina integral zona de ropas red de gas calentador de paso balcón parqueadero cubierto ascensor zona verde parque infantil portería y vigilancia 24 horas Excelente ubicación cerca a colegios universidades parque iglesia supermercados mall comercial y un excelente ambiente familiar Valor negociable se escucha oferta,3,4,2,151 m²,202 m²,6,,1 a 8 años,,$ 695.000 COP,"$ 10.927.152,32*m²",La Pilarica - Medellín - Antioquia
"472-3430 Conaltura inmobiliaria ofrece apartamento en venta en Medellin barrio rodeo alto, cuenta con sala, 3 alcobas, 2 baños cabinados, 3 closets, balcon, zona de ropas, iluminacion led, cocina integral, horno electrico, estufa a gas, calentador a gas, pisos en porcelanato, parqueadero cubierto, cuart util. Ubicado en conjunto cerrado con ascensor, circuito cerrado, porteria vigilancia 24h, cancha multiple, gimnasio, juegos infantiles, salon social, shut de basuras, piscina adultos, piscina niños, parqueadero visitantes, se permiten mascotas, vista panoramica, zona de fumadores, transporte publico cercano, sobre via principal. 472-3430.",2,2,,66 m²,66 m²,3,Excelente,16 a 30 años,3,No definida,"$ 2.545.454,55*m²",Rodeo Alto - Medellín - Antioquia
"Espectacular apartamento ubicado frente a C.C. San Diego, 3 habitaciones, más estudio, 2 baños, cocina integral abierta, balcón con vista a la ciudad, cuarto útil y parqueadero cubierto. Cerca a todo, ubicación inmejorable. Piso 10. Hermosos acabados. Administración 208.000.",3,2,1,80 m²,90 m²,5,,1 a 8 años,4,$ 170.000 COP,$ 6.250.000*m²,San Diego - Medellín - Antioquia
"Apartamentos para estrenar en Boston areas desde 102, 40m2 y 105.30m2; distribuidos así: 3 habitaciones, 2 baños, 3 balcones, sala comedor amplia, zona de ropas, cocina integral familiar; el edificio cuenta con ascensor, shut de basuras, portón, dos sótanos de parqueaderos. Parqueaderos a 20 millones con M.I independiente. Aptos DUPLEX con estudio y dos niveles, dos apartamentos con terraza. Cercanía al parque de Boston, estratégico sector. Asesoria y acompañamiento MONICA QUINTERO OSORIO SANDRA.",2,4,2,189 m²,189 m²,6,Excelente,16 a 30 años,4,$ 972.000 COP,"$ 7.142.857,14*m²",Boston - Medellín - Antioquia
"472-3121 Conaltura Inmobiliaria ofrece HERMOSO Apartamento en Venta entre los gonzalez y los balsos, cuenta con 3 alcobas una combertida en vestier grande cada una con baño mas 1 baño medio , 1 closet de lino, 1 tarraza grande perimetral , zona de ropas, sala comedor, cocina integral abierta , calentador de gas, 2 parqueaderos paralelos y cuarto util, domotica, puerta blindada se vende con el mobiliario . Ubicado en unidad cerrada con citofono, ascensor, cancha de futbol, gimnasio, juegos infantiles salón social, shut de basura, piscina, turco, sauna, zonas verdes, zona de fumadores. Cerca transv superior, centro comercial el tesoro. 472-3121.",4,4,2,238 m²,238 m²,6,Bueno,16 a 30 años,,$ 600.000 COP,"$ 5.252.100,84*m²",Loma de los Gonzalez - Medellín - Antioquia
"Código Arrendamientos Santa Fe: V10847. Propiedad ubicada en el Barrio Florencia, con fácil acceso al servicio de transporte publico y principales vías de la ciudad, el apartamento esta cerca a la Institución Educativa Echavarría misas y la Iglesia de Florencia..",3,4,4,278 m²,278 m²,6,,9 a 15 años,,$ 1.351.000 COP,"$ 7.553.956,83*m²",Florencia - Medellín - Antioquia
"Se vende apartamento en barrio los colores, Medellin 3 alcobas, 2 baños, sala comedor, cocina integral, dos balcones, cuarto piso, con ascensor, garaje cubierto, estrato 5, zona de ropas, es un edificio tiene un área de 90 mt2 Admon: $170.000 valor 500 negociable .",3,2,,89 m²,89 m²,3,,,,No definida,"$ 3.707.865,17*m²",Los Colores - Medellín - Antioquia
"Bonito apartamento ubicado en Los Colores con un área de 67.46 M2, distribuídos en un amplio salón comedor con salida a balcón. Cocina integral de concepto abierto con cómoda barra y zona de ropas independiente. Dos habitaciones con clóset, dos baños cabinados. Parqueadero propio y cuarto útil. Unidad cerrada con portería 24 horas, parqueadero de visitantes, dos ascensores en cada torre. Zonas comunes completas con piscinas, gimnasio, canchas; parque infantil y amplio salón social. Caminerías y zonas verdes exteriores con mucha arborización que proporciona un ambiente fresco y agradable para el esparcimiento. Los Colores es una zona residencial de alta valorización muy cerca a centros comerciales, instituciones educativas, deportivas; cerca a supermercados y con acceso a transporte público. Muy cerca a estaciones del metro. Agenda ya tu cita! .",3,4,2,200 m²,0 m²,5,,,,$ 780.000 COP,$ 5.000.000*m²,Los Colores - Medellín - Antioquia
"Único y exclusivo Apartamento en venta, con excelente ubicación, a solo 5 minutos del Centro comercial El Tesoro en Automovil, cerca al Parque Lleras y Provenza, Este apartamento abierto y espacioso fue remodelado completamente con pisos de porcelanato, iluminación y accesorios modernos. El apartamento tiene espacios increíbles con vistas a la ciudad para disfrutar desde la mayoría de las áreas del apartamento. Tiene dos dormitorios muy bien diseñados y tres baños elegantes..",6,6,3,280 m²,0 m²,5,,,6,No definida,"$ 5.357.142,86*m²",El Poblado - Medellín - Antioquia
"Apartamento dúplex con muy buenos acabados. El primer piso al entrar encontramos una amplia sala con techo doble altura muy iluminada, comedor y cocina abierta completamente remodelada, luego esta la zona de lavandería, el cuarto de servicio con su baño. Al fondo encontramos el baño social y la habitación principal con su baño con bañera y vestier independiente. En el segundo piso encontramos el hall de las habitaciones y la biblioteca, 3 habitaciones, dos de ellas con baño. Este apartamento tiene 2 parqueaderos y cuarto útil.",3,4,,260 m²,260 m²,6,,,,No definida,"$ 6.153.846,15*m²",Los Balsos - Medellín - Antioquia
"Excelente apartamento para la venta ubicado en el sector de el tesoro, cuenta con 3 habitaciones, cuarto de servicio, balcón con hermosa vista a la ciudad, estudio, cocina integral con barra americana, zona de ropas, pisos en mármol, parqueaderos doble lineal y cuarto útil. ubicado en unidad con zonas comunes completas, piscina, juegos infantiles, salón social, gimnasio, zonas verde. Cerca de la avenida guayabal, múltiples tiendas y fácil acceso al transporte publico. 473-11803.",2,1,1,51 m²,51 m²,5,Excelente,1 a 8 años,Otro,$ 218.000 COP,"$ 6.176.470,59*m²",El Tesoro - Medellín - Antioquia
"Apartamento en venta en unidad cerrada cerca a supermercados, restaurantes, vias principales, facil acceso a rutas de transporte publico y servicios complementarios. Piso en porcelanato, tres niveles, sala y comedor independiente, 3 alcobas con baño en la principal, cocina integral abierta tipo americano, balcon, terraza y parqueaderos independientes cubiertos. Cuenta con citofonia y circuito cerrado de tv. Inmuebles sujetos a verificación de disponibilidad...",8,9,,136 m²,136 m²,3,,,3,No definida,"$ 5.514.705,88*m²",La mina - Envigado - Antioquia
"Vendo apartamento exclusivamente para personas de gusto exquisito, que sepan mezclar lo moderno y lo tranquilo en un solo espacio y que además aseguren una buena inversión. Unidad ambientada en forma armoniosa con la naturaleza. Edificio, muy cómodo, excelente ambiente, tranquilo y muy familiar Apartamento dúplex a doble altura, reformado completamente, y de muy buena iluminación y confort. Predial $750.000 trimestre .",3,2,,47 m²,47 m²,3,,9 a 15 años,,$ 130.000 COP,"$ 4.042.553,19*m²",El Poblado - Medellín - Antioquia
Venta Penthouse Laureles Nogal. Piso 6° en Laureles Nogal - Medellín - Antioquia.,5,3,,95 m²,95 m²,2,Excelente,1 a 8 años,3,No definida,"$ 3.052.631,58*m²",Laureles nogal - Medellín - Antioquia
"Apartamento en venta en unidad cerrada cerca al Club Campestre, facil acceso desde la Av. el Poblado, ubicación estratégica cerca al Santuario de la Rosa Mística y múltiples servicios complementarios del CC Santa Fe. Piso en mármol y madera, puerta de seguridad, sala y comedor independiente, chimenea, estar de tv, 3 alcobas con baño en cada una, cocina integral abierta tipo americano, jacuzzi, balcon y parqueaderos independientes cubiertos. Piscina, gym, sauna, parque infantil, placa polideportiva, zonas verdes, vigilancia 24 horas, citofonia y circuito cerrado de tv. Inmuebles sujetos a verificación de disponibilidad...",2,1,,39 m²,0 m²,3,,,,No definida,"$ 3.769.230,77*m²",El Campestre - Medellín - Antioquia
"Moderno y elegante apartamento en la Loma de los Bernal, piso 25, con vista a la ciudad, ventilado. Consta de dos habitaciones con closet, puerta, ventana con persiana y piso en madera . Tiene un baño con acabados elegantes, cocina americana, zona de ropas, sala comedor amplia y balcón con vista a toda la ciudad. Tiene parqueadero privado y cubierto con fácil acceso. La unidad cuenta con espectaculares zonas comunes: Zona húmeda climatizada, gimnasio, salón, BBQ, minimercado, zona infantil, etc.",3,2,1,95 m²,0 m²,6,,,6,$ 425.000 COP,"$ 4.726.315,79*m²",Loma de los bernal - Medellín - Antioquia
"¡Apartamentos de136 m2 cada uno! LOS APARTAMENTOS SE VENDEN JUNTOS El apartamento del segundo piso cuenta con: 4 alcobas cada una con baño y closet, 1 baños social, cocina integral, sala comedor, comedor auxiliar, red de gas, calentador de agua, zona de ropas, patio. El apartamento del tercer piso cuenta con: sala comedor, cocina integral, red de gas, calentador, 4 alcobas, 4 closets, 4 baños, zona de lavandería, balcón. .",3,2,,89 m²,89 m²,3,,,,No definida,"$ 3.707.865,17*m²",La América - Medellín - Antioquia
Apartamento muy acogedor en la Urbanización cerrada Arboleda del Seminario Tercer piso Estrato 3 Área privada 47 10 metros cuadrados Sala comedor tres habitaciones todas con closet dos baños cabinados cocina zona de ropas red de gas calentador a gas vista hacia la montaña portería 24 7 zona social salón social piscina juegos para niños cancha de baloncesto zonas verdes senderos excelente servicio de transporte público No da el poniente excelente luz natural,3,2,2,112 m²,112 m²,5,Bueno,16 a 30 años,,$ 560.000 COP,"$ 5.491.071,43*m²",Buenos Aires - Medellín - Antioquia
GRAN OPORTUNIDAD DE INVERSION: DOS APARTAMENTOS EN PEDREGAL TOTAL MENTE TERMINADOS Y EN BUEN PUNTO. Código E06 Precio ANTES 340.000.000 AHORA 290.000.000 Se venden también individual. Tercer Piso 95 Metros aproximados de toda la propiedad. EL PRIMER APARTAMENTO CONSTA DE: Precio $179.000.000 Negociables Sala Comedor Piso en porcelanato 3 Habitaciones una con baño privado 3 Closet Cocina integral con mesón en mármol Red de gas 2 Baños enchapados con cabina en vidrio.,3,2,,85 m²,85 m²,6,,,,No definida,"$ 6.705.882,35*m²",Pedregal - Medellín - Antioquia
"Excelente ubicación, bonitos acabados, espectacular vista a la ciudad, cuenta con 2 habitaciones cada una con closet amplio, 1 baño, zona de ropas, cocina integral, la unidad cuenta con zona BBQ , salón social, parque y cancha de fútbol, parqueaderos comunes para motos y automóviles, vigilancia 7x24, la unidad cuenta con excelentes rutas de transporte publico y el alimentador del metro llega hasta la portería, se encuentra a pocos minutos del centro comercial la central, actualmente se encuentra rentando. ES UNA EXCELENTE OPCIÓN PARA INVERTIR..",6,6,3,280 m²,0 m²,5,,,6,No definida,"$ 5.357.142,86*m²",Buenos Aires - Medellín - Antioquia
"VENDO APARTAMENTO LAURELES - PEDIDO 449 MILLONES -95m2 -3 habitaciones -2 baños -Cocina integral -Balcón -Piso 6 -Parqueadero -Cuarto útil -Ubicado en edificio con terraza, ascensor y portería. -Estrato: 6 -Administración: 425 mil -Antigüedad: 15 años -A 4 cuadras del primer parque de laureles. (S.H.) .",3,3,,173 m²,173 m²,6,,,,No definida,"$ 6.647.398,84*m²",Laureles - Medellín - Antioquia
"Apartamento en venta en unidad cerrada cerca a supermercados, restaurantes, vias principales, facil acceso a rutas de transporte publico y servicios complementarios. Piso en porcelanato, tres niveles, sala y comedor independiente, 3 alcobas con baño en la principal, cocina integral abierta tipo americano, balcon, terraza y parqueaderos independientes cubiertos. Cuenta con citofonia y circuito cerrado de tv. Inmuebles sujetos a verificación de disponibilidad...",2,4,2,189 m²,189 m²,6,Excelente,16 a 30 años,4,$ 972.000 COP,"$ 7.142.857,14*m²",La mina - Envigado - Antioquia
"Bonito apartamento ubicado en Los Colores con un área de 67.46 M2, distribuídos en un amplio salón comedor con salida a balcón. Cocina integral de concepto abierto con cómoda barra y zona de ropas independiente. Dos habitaciones con clóset, dos baños cabinados. Parqueadero propio y cuarto útil. Unidad cerrada con portería 24 horas, parqueadero de visitantes, dos ascensores en cada torre. Zonas comunes completas con piscinas, gimnasio, canchas; parque infantil y amplio salón social. Caminerías y zonas verdes exteriores con mucha arborización que proporciona un ambiente fresco y agradable para el esparcimiento. Los Colores es una zona residencial de alta valorización muy cerca a centros comerciales, instituciones educativas, deportivas; cerca a supermercados y con acceso a transporte público. Muy cerca a estaciones del metro. Agenda ya tu cita! .",3,4,2,151 m²,202 m²,6,,1 a 8 años,,$ 695.000 COP,"$ 10.927.152,32*m²",Los Colores - Medellín - Antioquia
"Amplio, Moderno, iluminado, Remodelado!! Apartamento duplex de 295 mts, con 3 habitaciones con baño y Vestier, aire acondicionado en cada habitación. Biblioteca, Balcón en habitación principal. Alcoba de servicio, zona de ropas. Moderna Cocina Abierta. Salón grande y Comedor independiente. Cuenta con una espectacular terraza de 55 mts con Jacuzzi y Turco. Tiene 2 parqueaderos, cada uno con útil, y un cuarto útil adicional en el piso del apartamento. La unidad cuenta con portería 24/7, Juegos de niños y Piscina. Lugar ideal pues puedes caminar al centro comercial, la iglesia y varios restaurantes. .",3,2,1,80 m²,90 m²,5,,1 a 8 años,4,$ 170.000 COP,$ 6.250.000*m²,San Lucas - Medellín - Antioquia
"Apartamento en venta en unidad cerrada cerca a parques, restaurantes y servicios complementarios. Piso en porcelanato, sala comedor, 3 alcobas con baño en la principal, cocina integral abierta tipo americano, alcoba y baño de servicio, balcon y parqueaderos lineales cubiertos. Conjunto cerrado con ascensor, piscina, salón social, parques infantiles, zonas verdes, vigilancia 24 hrs, citofonia, alarma, y circuito cerrado de tv. Inmuebles sujetos a verificación de disponibilidad..",4,4,2,238 m²,238 m²,6,Bueno,16 a 30 años,,$ 600.000 COP,"$ 5.252.100,84*m²",Loma de los Bernal - Medellín - Antioquia
"Apartamento en venta en unidad cerrada ubicado en una calle tranquila, de poco flujo vehicular y transito de solo residentes. Piso en porcelanato y madera, puerta de seguridad, sala comedor, estudio, 3 alcobas con baño en la principal, cocina integral abierta tipo americano, balcon y parqueadero cubierto. Piscina, gym, sauna, parque infantil, zonas vedes, vigilancia 24 horas, citofonia y circuito cerrado de tv Inmuebles sujetos a verificación de disponibilidad...",3,3,3,161 m²,0 m²,6,Excelente,,,$ 535.000 COP,"$ 7.236.024,84*m²",El Castillo - Medellín - Antioquia
Venta Penthouse Laureles Nogal. Piso 6° en Laureles Nogal - Medellín - Antioquia.,3,2,1,51 m²,51 m²,4,,9 a 15 años,,$ 180.000 COP,"$ 5.490.196,08*m²",Laureles nogal - Medellín - Antioquia
"Apartamento en venta y arriendo en unidad cerrada sector Santa Maria de los Ángeles, cerca al CC Sao Pablo y Mall la Frontera. Facil acceso desde la Av el Poblado, rutas de transporte. Piso en madera, dos niveles, puerta de seguridad, sala y comedor independiente, estudio, 3 alcobas con baño en cada una, cocina integral abierta tipo americano, terraza y parqueaderos lineales cubiertos. Piscina, gym, sauna, parque infantil, zonas verdes, vigilancia 24 horas y circuito cerrado de tv. ..",3,2,1,126 m²,126 m²,6,Excelente,16 a 30 años,1,$ 520.101 COP,"$ 3.992.063,49*m²",Santa M de los Angeles - Medellín - Antioquia
"Vendo apartamento en unidad completa calasanz bajo, zona de alta valorización cercana a la 80, excelentes rutas de transporte, cercana a supermercados e iglesias. El apartamento consta de 3 habitaciones y 2 baños completos, cocina integral abierta zona de ropas, balcón, parqueadero y cuarto util.Predial $280.000 trimestral. .",3,2,1,70 m²,70 m²,4,Excelente,9 a 15 años,5,$ 229.000 COP,"$ 4.571.428,57*m²",Calasanz - Medellín - Antioquia
"Único y exclusivo Apartamento en venta, con excelente ubicación, a solo 5 minutos del Centro comercial El Tesoro en Automovil, cerca al Parque Lleras y Provenza, Este apartamento abierto y espacioso fue remodelado completamente con pisos de porcelanato, iluminación y accesorios modernos. El apartamento tiene espacios increíbles con vistas a la ciudad para disfrutar desde la mayoría de las áreas del apartamento. Tiene dos dormitorios muy bien diseñados y tres baños elegantes..",3,2,1,79 m²,73 m²,5,Excelente,menor a 1 año,10,$ 208.000 COP,"$ 7.088.607,59*m²",El Poblado - Medellín - Antioquia
"472-3121 Conaltura Inmobiliaria ofrece HERMOSO Apartamento en Venta entre los gonzalez y los balsos, cuenta con 3 alcobas una combertida en vestier grande cada una con baño mas 1 baño medio , 1 closet de lino, 1 tarraza grande perimetral , zona de ropas, sala comedor, cocina integral abierta , calentador de gas, 2 parqueaderos paralelos y cuarto util, domotica, puerta blindada se vende con el mobiliario . Ubicado en unidad cerrada con citofono, ascensor, cancha de futbol, gimnasio, juegos infantiles salón social, shut de basura, piscina, turco, sauna, zonas verdes, zona de fumadores. Cerca transv superior, centro comercial el tesoro. 472-3121.",3,4,4,278 m²,278 m²,6,,9 a 15 años,,$ 1.351.000 COP,"$ 7.553.956,83*m²",Loma de los Gonzalez - Medellín - Antioquia
"Se vende apartamento en barrio los colores, Medellin 3 alcobas, 2 baños, sala comedor, cocina integral, dos balcones, cuarto piso, con ascensor, garaje cubierto, estrato 5, zona de ropas, es un edificio tiene un área de 90 mt2 Admon: $170.000 valor 500 negociable .",3,4,2,200 m²,0 m²,5,,,,$ 780.000 COP,$ 5.000.000*m²,Los Colores - Medellín - Antioquia
"Apartamento dúplex con muy buenos acabados. El primer piso al entrar encontramos una amplia sala con techo doble altura muy iluminada, comedor y cocina abierta completamente remodelada, luego esta la zona de lavandería, el cuarto de servicio con su baño. Al fondo encontramos el baño social y la habitación principal con su baño con bañera y vestier independiente. En el segundo piso encontramos el hall de las habitaciones y la biblioteca, 3 habitaciones, dos de ellas con baño. Este apartamento tiene 2 parqueaderos y cuarto útil.",3,2,1,76 m²,76 m²,4,,16 a 30 años,,No definida,"$ 4.736.842,11*m²",Los Balsos - Medellín - Antioquia
"Apartamento en la Calera, 3 alcobas todas con baño, principal con baño y vestier, estudio, balcón grande con vista a la ciudad, baño social, cuarto del servicio, puerta blindada, piso alto. 3 parqueaderos, sencillo y otro doble lineal, cuarto útil. Unidad super completa, 2 piscinas, 2 gimnasios, juegos infantiles, salones de juegos y salón de televisión y chancha de futbol..",2,2,,66 m²,66 m²,3,Excelente,16 a 30 años,3,No definida,"$ 2.545.454,55*m²",La Calera - Medellín - Antioquia
"472-3430 Conaltura inmobiliaria ofrece apartamento en venta en Medellin barrio rodeo alto, cuenta con sala, 3 alcobas, 2 baños cabinados, 3 closets, balcon, zona de ropas, iluminacion led, cocina integral, horno electrico, estufa a gas, calentador a gas, pisos en porcelanato, parqueadero cubierto, cuart util. Ubicado en conjunto cerrado con ascensor, circuito cerrado, porteria vigilancia 24h, cancha multiple, gimnasio, juegos infantiles, salon social, shut de basuras, piscina adultos, piscina niños, parqueadero visitantes, se permiten mascotas, vista panoramica, zona de fumadores, transporte publico cercano, sobre via principal. 472-3430.",3,2,1,68 m²,68 m²,4,,1 a 8 años,,$ 230.000 COP,"$ 6.176.470,59*m²",Rodeo Alto - Medellín - Antioquia
