descripcion,habitaciones,banios,parqueaderos,area_construida,area_privada,estrato,estado,antiguedad,piso,administeracion,precio_m2,barrio
"Es un sector, tranquilo, muy seguro y muy cerca a la Cuarta Brigada , Colegio Calasanz Campestre, Parroquia San Clemente Maria Hofbauer. Area construida 109 m2 , ubicada en el quinto piso del edificio ingreso solo por escaleras, reja de seguridad para ingresar al ultimo piso, cuarto y quinto piso solo 1 apartamento, pisos 2, 3, 2 aptos por piso. Balcón amplio, sala- comedor amplio, sala de estar o estudio, habitación principal con vestier y baño privado completo, 2 habitaciones auxiliares que comparten un baño en comun, baño social, alcoba de servicio con baño completo, cocina integral con espacios para almacenar utensilios y alimentos, red gas. piso en ceramica, Tiene parqueadero sencillo, cuarto útil en zona de parqueaderos (22) .",3,3,2,162 m²,0 m²,6,,16 a 30 años,1,$ 550.000 COP,"$ 3.672.839,51*m²",Los Colores - Medellín - Antioquia
"Hoy te presentamos este apartamento, ubicado en un barrio tranquilo y acogedor, a pocos pasos puedes encontrar supermercados, locales comerciales, restaurantes, zonas verdes. Su ubicación es privilegiada, ya que cuenta con vías de acceso importante para su disposición. La sala y el comedor se integran con el balcón que tiene una excelente vista, la cocina es abierta con una barra auxiliar en vidrio templado, la habitación principal cuenta con baño y vestier independiente..",3,2,,103 m²,0 m²,5,,más de 30 años,4,$ 82.000 COP,"$ 3.495.145,63*m²",La Floresta - Medellín - Antioquia
"94 metros cuadrados distribuidos en 3 alcobas, 2 closet, 1 vestier, 2 baños cabinados en vidrio templado, salón comedor con balcón, estudio, cocina integral abierta con mesón en mármol y barra tipo americana, zona de ropas, red de gas natural, pisos en madera laminada, 2 parqueaderos + cuarto útil. Unidad cerrada con portería las 24 horas y circuito cerrado de tv, shut de basuras, citófono, ascensor, parqueadero de visitantes, salón social, juegos infantiles, zonas verdes, piscina, sauna, gym..",3,3,2,147 m²,147 m²,5,Bueno,16 a 30 años,,$ 700.000 COP,"$ 4.625.850,34*m²",SurOriente - Medellín - Antioquia
"Apartamento en edificio completamente remodelado, segundo piso con ascensor, servicio de portería diurna, a pocos metros del segundo parque de laureles, Mall de Laureles, centro comercial Viva Laureles. Distribución: Salón comedor, balcón, cocina integral doble mesón, estudio, terraza interna con domo eléctrico, habitación principal amplia con baño y closet, habitación auxiliar y baño social completo. Parqueadero sencillo y cuarto útil..",2,2,1,75 m²,75 m²,5,,,1,$ 279.000 COP,"$ 4.266.666,67*m²",Laureles - Medellín - Antioquia
"Venta de apartamento en la Loma De San Julian 101, 5 metros cuadrados, vista a la ciudad, full acabados, 3 habitaciones todas con closet, 2 baños completos, parqueadero doble lineal, cuarto útil Predial 250 mil pesos mensuales Administración 413 mil pesos Valor del inmueble 680 millones de pesos La unidad cuenta con zona húmeda: turco, carril de nado, piscina pequeña para niños, bbq, salón de juegos para niños, gimnasio .",4,1,,135 m²,135 m²,3,Bueno,más de 30 años,3,$ 217.900 COP,"$ 2.214.814,81*m²",San julian - Medellín - Antioquia
"Apartamento en venta en florida nueva 80 metros, quinto piso con ascensor , 3 alcobas .3 baños Cocina integral, red de gas, zona de ropas, balcón y parqueadero.Cerca de la 70 y a la estación estadio código: 2772.",2,2,1,50 m²,50 m²,4,,1 a 8 años,16,$ 179.000 COP,$ 6.200.000*m²,Florida Nueva - Medellín - Antioquia
"Venta de hermoso en El Poblado, La Visitación 117 metros cuadrados, , 3 habitaciones más alcoba del servicio, 3 baños más baño del servicio, 2 parqueaderos(independientes, 1 cuarto útil, cocina recientemente remodelada. La alcoba del servicio se puede convertir en estudio. Administración 574 mil pesos Predial 4 millones de pesos anuales Valor del inmueble 760 millones de pesos Unidad cerca al Centro Comerciale Santa Fé, Oviedo, El Tesoro, mall La Visitación y Zona 2 Sur y al Supermercado La Vaquita. La unidad tiene piscina, parque infantil, gimnasio, zonas verdes. .",4,4,2,145 m²,140 m²,6,Excelente,1 a 8 años,4,$ 790.000 COP,"$ 5.379.310,34*m²",El Poblado - Medellín - Antioquia
"Apartamento para la venta en la Castellana ubicado cerca a la villa de aburra, estrato 5, piso 4 con ascensor, cuenta con 86 metros cuadrados, consta de 3 habitaciones mas una para el servicio, 3 baños, sala comedor, cocina integral, balcon y parqueadero. Valor Administracion $330.000 Valor Predial Trimestral $350.000 Asesor Nestor Londoño .",3,3,2,125 m²,125 m²,5,Bueno,9 a 15 años,,$ 528.400 COP,$ 5.040.000*m²,Laureles La Castellana - Medellín - Antioquia
"Apartamento en excelente sector de medellin, ubicado en barrio santa Teresita (Almeria), cerca de la iglesia santa rita, universidad adventistas, exito de laureles.Porteria diurna de 8 am a 5 pm. Ascensión intermedio. Parqueadero cubierto y cuarto util. .",3,2,1,72 m²,0 m²,4,,16 a 30 años,5,$ 210.000 COP,"$ 4.305.555,56*m²",La Almeria - Medellín - Antioquia
"Apartamento con un area de 87 mts, 3 alcobas con closet, 3 baños, estudio biblioteca o posibilidad de 4ta alcoba, cocina semiintegral con red de gas, zona de ropas, balcones, sala comedor, piso en ceramica es un cuarto piso pero se entra por el 2do, sin ascensor cerca a pascual brav, itm, colegio mayor, universidad de antioquia sede robledo, clinicas y hospitales buenas rutas de acceso excelente sistema de transporte .",3,2,,86 m²,0 m²,4,Bueno,16 a 30 años,4,No definida,"$ 3.488.372,09*m²",San Germán - Medellín - Antioquia
